Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     90.82     0.00        1     0.00     0.00  chkaxcb_
  0.00     90.82     0.00        1     0.00     0.00  cmt_flow_ics_
  0.00     90.82     0.00        1     0.00     0.00  cmt_set_fc_ptr_
  0.00     90.82     0.00        1     0.00     0.00  cmt_switch_
  0.00     90.82     0.00        1     0.00     8.29  crs_setup_
  0.00     90.82     0.00        1     0.00     0.01  crystal_ituple_sort_
  0.00     90.82     0.00        1     0.00     0.00  cscan_
  0.00     90.82     0.00        1     0.00     0.00  dg_setup_
  0.00     90.82     0.00        1     0.00     0.00  dlamc1_
  0.00     90.82     0.00        1     0.00     0.00  dlamc2_
  0.00     90.82     0.00        1     0.00     0.00  dlamc5_
  0.00     90.82     0.00        1     0.00     0.00  do_semhat_weight_
  0.00     90.82     0.00        1     0.00     0.00  dofcnt_
